arxiv_id,page,URL,location,Lexicographical Complexity,Spatial Complexity,Representational Complexity,OADS
1602.00266,1.0,http://arxiv.org/abs/1602.00266v2,Header,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",GenURL
1602.00266,31.0,http://arxiv.org/abs/math/9707228v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.00875,5.0,http://arxiv.org/abs/1509.06188,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.00875,5.0,http://arxiv.org/abs/1511.05201,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.00875,1.0,http://arxiv.org/abs/1602.00875v2,Header,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",GenURL
1602.00875,5.0,http://infoscience.epﬂ.ch/record/204670,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Shortened URLs that redirect to a longer address,GenURL
1602.00875,5.0,http://people.lids.mit.edu/yp/homepage/data/itlectures_v2.pdf,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,GenURL
1602.01172,1.0,http://creativecommons.org,Footer,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,Hidden in annotation layers,GenURL
1602.01172,1.0,http://creativecommons.org/licenses/by/3.0/,Footer,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,Hidden in annotation layers,GenURL
1602.01172,15.0,http://dl.acm.org/citation.cfm?id=2486821,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,TPS
1602.01172,14.0,http://doi.acm.org/10.1145/1960275.1960280,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,14.0,http://doi.acm.org/10.1145/2430536.2430543,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.01172,14.0,http://doi.acm.org/10.1145/2562059.2562128,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.01172,14.0,http://doi.acm.org/10.1145/302405.302672,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,15.0,http://doi.acm.org/10.1145/75277.75293,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.01172,15.0,http://dx.doi.org/10.1007/11609773_24,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.01172,15.0,http://dx.doi.org/10.1007/978-3-642-14295-6_18,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,14.0,http://dx.doi.org/10.1007/978-3-642-19583-9_16,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,14.0,http://dx.doi.org/10.1007/978-3-642-33666-9_22,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,15.0,http://dx.doi.org/10.1007/978-3-642-36964-3_2,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,14.0,http://dx.doi.org/10.1007/s10009-011-0207-9,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,14.0,http://dx.doi.org/10.1007/s10009-011-0221-y,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.01172,14.0,http://dx.doi.org/10.1016/j.jcss.2011.08.007,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,14.0,http://dx.doi.org/10.1109/FMCAD.2013.6679387,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,15.0,http://dx.doi.org/10.1109/ICRA.2013.6631152,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.01172,14.0,http://dx.doi.org/10.1109/ROBOT.2007.363946,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,14.0,http://dx.doi.org/10.1109/TRO.2009.2030225,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,14.0,http://dx.doi.org/10.1145/2786805.2786824,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.01172,14.0,http://dx.doi.org/10.4204/EPTCS.157.9,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,GenURL
1602.01172,1.0,http://dx.doi.org/10.4204/EPTCS.202.5,Footer,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in footnotes,Hidden in annotation layers,GenURL
1602.01172,15.0,http://smlab.cs.tau.ac.il/syntech/forklift/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",embedded in references,,GenURL
1602.01172,15.0,http://smlab.cs.tau.ac.il/syntech/patterns/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",embedded in references,,GenURL
1602.01172,14.0,http://smlab.cs.tau.ac.il/syntech/patterns/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",split across lines,,GenURL
1602.01172,1.0,http://www.cs.tau.ac.il,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain",,,GenURL
1602.01172,2.0,http://www.lego.com/en-us/mindstorms,Introduction,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,GenURL
1602.01172,9.0,http://www.lejos.org/nxj.php,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,GenURL
1602.01172,3.0,http://www.nxtprograms.com/NXT2/forklift/steps.html,Related Works & Background,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,GenURL
1602.01388,1.0,http://arxiv.org/abs/1602.01388v1,Header,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",GenURL
1602.01388,15.0,http://www.pardus.at,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in references,,GenURL
1602.01388,15.0,http://www.statista.com/statistics/276601/number-of-world-of-warcraft-subscribers-by-quarter/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",embedded in references,Hidden in annotation layers,TPD
1602.01388,4.0,http://www.youtube.com/user/complexsystemsvienna,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in captions,,GenURL
1602.02336,1.0,http://arxiv.org/abs/1602.02336v3,Header,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",GenURL
1602.02336,55.0,http://arxiv.org/abs/1702.03514,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.02336,55.0,http://front.math.ucdavis.edu/1304.3538,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.02336,55.0,http://front.math.ucdavis.edu/1509.09079,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.03455,25.0,http://arxiv.org/abs/0710.3820,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,TPS
1602.03455,28.0,http://arxiv.org/abs/0805.2001,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,24.0,http://arxiv.org/abs/0810.2706,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,28.0,http://arxiv.org/abs/0904.2112,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,24.0,http://arxiv.org/abs/0909.1495,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,28.0,http://arxiv.org/abs/1205.0422,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/1207.5991,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/1210.1089,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://arxiv.org/abs/1211.6759,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/1302.5854,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://arxiv.org/abs/1305.2050,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://arxiv.org/abs/1307.4556,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://arxiv.org/abs/1308.1302,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://arxiv.org/abs/1308.4583,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,24.0,http://arxiv.org/abs/1308.5663,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/1311.4823,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/1407.7574,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/1407.7712,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,28.0,http://arxiv.org/abs/1407.8136,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://arxiv.org/abs/1408.0275,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://arxiv.org/abs/1409.5080,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,TPS
1602.03455,25.0,http://arxiv.org/abs/1412.6352,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://arxiv.org/abs/1412.6751,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://arxiv.org/abs/1412.7515,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://arxiv.org/abs/1501.06777,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://arxiv.org/abs/1505.01505,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/1505.01654,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/1505.01710,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,28.0,http://arxiv.org/abs/1509.01098,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/1512.02494,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://arxiv.org/abs/1602.03160,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,28.0,http://arxiv.org/abs/1604.01525,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,28.0,http://arxiv.org/abs/1605.01082,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/hep-ex/0412072,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/hep-ex/0611054,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,24.0,http://arxiv.org/abs/hep-ph/0008090,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://arxiv.org/abs/hep-ph/0211282,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,28.0,http://arxiv.org/abs/hep-ph/0406184,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,28.0,http://arxiv.org/abs/hep-ph/0501199,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://arxiv.org/abs/hep-ph/0506026,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://arxiv.org/abs/hep-ph/0603175,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,TPS
1602.03455,24.0,http://arxiv.org/abs/hep-ph/9403384,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,24.0,http://arxiv.org/abs/hep-ph/9612433,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,24.0,http://arxiv.org/abs/hep-ph/9901362,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,26.0,http://arxiv.org/abs/physics/0402083,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,TPS
1602.03455,27.0,http://cdsweb.cern.ch/search?p=LHCb-CONF-2014-004&f=reportnumber&action_search=Search&c=LHCb+Conference+Contributions,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,GenURL
1602.03455,27.0,http://cdsweb.cern.ch/search?p=LHCb-CONF-2016-001&f=reportnumber&action_search=Search&c=LHCb+Conference+Contributions,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,GenURL
1602.03455,25.0,http://cdsweb.cern.ch/search?p=LHCb-PUB-2014-046&f=reportnumber&action_search=Search&c=LHCb+Reports,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,1.0,http://creativecommons.org/licenses/by/4.0/,Abstract,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",,Hidden in annotation layers,GenURL
1602.03455,24.0,http://dx.doi.org/10.1007/JHEP01(2014)051,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://dx.doi.org/10.1007/JHEP04(2015)043,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,GenURL
1602.03455,26.0,http://dx.doi.org/10.1007/JHEP08(2015)005,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,GenURL
1602.03455,27.0,http://dx.doi.org/10.1007/JHEP09(2013)145,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://dx.doi.org/10.1016/0370-2693(88)90836-2,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,24.0,http://dx.doi.org/10.1016/0370-2693(91)90034-N,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://dx.doi.org/10.1016/0370-2693(91)91542-4,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,24.0,http://dx.doi.org/10.1016/0370-2693(91)91756-L,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,27.0,http://dx.doi.org/10.1016/0550-3213(88)90028-4,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://dx.doi.org/10.1016/j.cpc.2008.01.036,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,TPS
1602.03455,26.0,http://dx.doi.org/10.1016/j.nima.2005.08.106,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,TPS
1602.03455,26.0,http://dx.doi.org/10.1016/j.nima.2005.11.166,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,TPS
1602.03455,27.0,http://dx.doi.org/10.1016/j.physletb.2013.08.020,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://dx.doi.org/10.1016/j.physletb.2013.10.057,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,GenURL
1602.03455,27.0,http://dx.doi.org/10.1016/j.physletb.2014.10.005,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://dx.doi.org/10.1016/S0168-9002(01)00089-4,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,TPS
1602.03455,25.0,http://dx.doi.org/10.1016/S0168-9002(03)01368-8,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,TPS
1602.03455,25.0,http://dx.doi.org/10.1016/S0370-2693(03)00192-8,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,GenURL
1602.03455,24.0,http://dx.doi.org/10.1080/14786441008520365,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,GenURL
1602.03455,28.0,http://dx.doi.org/10.1088/1126-6708/2005/07/028,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,GenURL
1602.03455,25.0,http://dx.doi.org/10.1088/1126-6708/2006/05/026,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,TPS
1602.03455,26.0,http://dx.doi.org/10.1088/1674-1137/38/9/090001,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,GenURL
