,,,,,,,"annotation layer, embedded in images",
1602.01172,2,uri:{http://www.lego.com/en-us/mindstorms},http://www.lego.com/en-us/mindstorms,Introduction,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
1602.01172,15,uri:{http://smlab.cs.tau.ac.il/syntech/patterns/},http://smlab.cs.tau.ac.il/syntech/patterns/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",embedded in references,,
1602.01172,14,uri:{http://smlab.cs.tau.ac.il/syntech/patterns/},http://smlab.cs.tau.ac.il/syntech/patterns/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",split across lines,,
1602.01172,15,uri:{http://smlab.cs.tau.ac.il/syntech/forklift/},http://smlab.cs.tau.ac.il/syntech/forklift/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",embedded in references,,
1602.01172,1,uri:{http://dx.doi.org/10.4204/EPTCS.202.5},http://dx.doi.org/10.4204/EPTCS.202.5,Footer,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in footnotes,Hidden in annotation layers,
1602.01172,14,uri:{http://dx.doi.org/10.4204/EPTCS.157.9},http://dx.doi.org/10.4204/EPTCS.157.9,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,14,uri:{http://dx.doi.org/10.1145/2786805.2786824},http://dx.doi.org/10.1145/2786805.2786824,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.01172,14,uri:{http://dx.doi.org/10.1109/TRO.2009.2030225},http://dx.doi.org/10.1109/TRO.2009.2030225,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,14,uri:{http://dx.doi.org/10.1109/ROBOT.2007.363946},http://dx.doi.org/10.1109/ROBOT.2007.363946,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,15,uri:{http://dx.doi.org/10.1109/ICRA.2013.6631152},http://dx.doi.org/10.1109/ICRA.2013.6631152,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.01172,14,uri:{http://dx.doi.org/10.1109/FMCAD.2013.6679387},http://dx.doi.org/10.1109/FMCAD.2013.6679387,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,14,uri:{http://dx.doi.org/10.1016/j.jcss.2011.08.007},http://dx.doi.org/10.1016/j.jcss.2011.08.007,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,14,uri:{http://dx.doi.org/10.1007/s10009-011-0221-y},http://dx.doi.org/10.1007/s10009-011-0221-y,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.01172,14,uri:{http://dx.doi.org/10.1007/s10009-011-0207-9},http://dx.doi.org/10.1007/s10009-011-0207-9,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,15,uri:{http://dx.doi.org/10.1007/978-3-642-36964-3_2},http://dx.doi.org/10.1007/978-3-642-36964-3_2,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,14,uri:{http://dx.doi.org/10.1007/978-3-642-33666-9_22},http://dx.doi.org/10.1007/978-3-642-33666-9_22,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,14,uri:{http://dx.doi.org/10.1007/978-3-642-19583-9_16},http://dx.doi.org/10.1007/978-3-642-19583-9_16,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,15,uri:{http://dx.doi.org/10.1007/978-3-642-14295-6_18},http://dx.doi.org/10.1007/978-3-642-14295-6_18,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,15,uri:{http://dx.doi.org/10.1007/11609773_24},http://dx.doi.org/10.1007/11609773_24,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.01172,15,uri:{http://doi.acm.org/10.1145/75277.75293},http://doi.acm.org/10.1145/75277.75293,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.01172,14,uri:{http://doi.acm.org/10.1145/302405.302672},http://doi.acm.org/10.1145/302405.302672,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,14,uri:{http://doi.acm.org/10.1145/2562059.2562128},http://doi.acm.org/10.1145/2562059.2562128,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.01172,14,uri:{http://doi.acm.org/10.1145/2430536.2430543},http://doi.acm.org/10.1145/2430536.2430543,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.01172,14,uri:{http://doi.acm.org/10.1145/1960275.1960280},http://doi.acm.org/10.1145/1960275.1960280,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,15,uri:{http://dl.acm.org/citation.cfm?id=2486821},http://dl.acm.org/citation.cfm?id=2486821,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",,
1602.01172,1,uri:{http://creativecommons.org/licenses/by/3.0/},http://creativecommons.org/licenses/by/3.0/,Footer,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,Hidden in annotation layers,
1602.01172,1,uri:{http://creativecommons.org},http://creativecommons.org,Footer,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,Hidden in annotation layers,
1602.01172,1,,http://www.cs.tau.ac.il,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain",,,
1602.01388,1,uri:{http://arxiv.org/abs/1602.01388v1},http://arxiv.org/abs/1602.01388v1,Header,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
1602.01388,15,uri:{http://www.statista.com/statistics/276601/number-of-world-of-warcraft-subscribers-by-quarter/},http://www.statista.com/statistics/276601/number-of-world-of-warcraft-subscribers-by-quarter/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",embedded in references,Hidden in annotation layers,
1602.01388,15,uri:{http://www.pardus.at},http://www.pardus.at,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in references,, 
1602.01388,4,,http://www.youtube.com/user/complexsystemsvienna,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in captions,,
1602.02336,55,uri:{http://front.math.ucdavis.edu/1509.09079},http://front.math.ucdavis.edu/1509.09079,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.02336,55,uri:{http://front.math.ucdavis.edu/1304.3538},http://front.math.ucdavis.edu/1304.3538,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.02336,55,uri:{http://arxiv.org/abs/1702.03514},http://arxiv.org/abs/1702.03514,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.02336,1,uri:{http://arxiv.org/abs/1602.02336v3},http://arxiv.org/abs/1602.02336v3,Header,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
1602.03455,27,uri:{http://www.slac.stanford.edu/xorg/hfag/},http://www.slac.stanford.edu/xorg/hfag/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",embedded in references,,
1602.03455,26,uri:{http://pdg.lbl.gov/},http://pdg.lbl.gov/,References,"URLs with trailing slashes, URLs with subdomain, ""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in references,Hidden in annotation layers,
1602.03455,27,uri:{http://laura.hepforge.org/},http://laura.hepforge.org/,References,"URLs with trailing slashes, URLs with subdomain, ""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in references,,
1602.03455,26,uri:{http://inspirehep.net/record/230779/},http://inspirehep.net/record/230779/,References,"URLs with trailing slashes, ""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in references,Hidden in annotation layers,
1602.03455,27,uri:{http://gammacombo.hepforge.org/},http://gammacombo.hepforge.org/,References,"URLs with trailing slashes, URLs with subdomain, ""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in references,,
1602.03455,24,uri:{http://dx.doi.org/10.1146/annurev.nucl.49.1.35},http://dx.doi.org/10.1146/annurev.nucl.49.1.35,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,24,uri:{http://dx.doi.org/10.1143/PTP.49.652},http://dx.doi.org/10.1143/PTP.49.652,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1142/S0217751X15300227},http://dx.doi.org/10.1142/S0217751X15300227,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1140/epjc/s2005-02396-4},http://dx.doi.org/10.1140/epjc/s2005-02396-4,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,28,uri:{http://dx.doi.org/10.1140/epjc/s2005-02169-1},http://dx.doi.org/10.1140/epjc/s2005-02169-1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1140/epjc/s10052-013-2655-8},http://dx.doi.org/10.1140/epjc/s10052-013-2655-8,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,27,uri:{http://dx.doi.org/10.1140/epjc/s10052-013-2431-9},http://dx.doi.org/10.1140/epjc/s10052-013-2431-9,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1109/TNS.2006.869826},http://dx.doi.org/10.1109/TNS.2006.869826,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,24,uri:{http://dx.doi.org/10.1103/PhysRevLett.78.3257},http://dx.doi.org/10.1103/PhysRevLett.78.3257,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,24,uri:{http://dx.doi.org/10.1103/PhysRevLett.55.1039},http://dx.doi.org/10.1103/PhysRevLett.55.1039,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,24,uri:{http://dx.doi.org/10.1103/PhysRevLett.51.1945},http://dx.doi.org/10.1103/PhysRevLett.51.1945,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,27,uri:{http://dx.doi.org/10.1103/PhysRevLett.116.191601},http://dx.doi.org/10.1103/PhysRevLett.116.191601,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,26,uri:{http://dx.doi.org/10.1103/PhysRevLett.113.162001},http://dx.doi.org/10.1103/PhysRevLett.113.162001,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,26,uri:{http://dx.doi.org/10.1103/PhysRevLett.109.131801},http://dx.doi.org/10.1103/PhysRevLett.109.131801,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,24,uri:{http://dx.doi.org/10.1103/PhysRevLett.10.531},http://dx.doi.org/10.1103/PhysRevLett.10.531,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,26,uri:{http://dx.doi.org/10.1103/PhysRevD.93.119902},http://dx.doi.org/10.1103/PhysRevD.93.119902,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,26,uri:{http://dx.doi.org/10.1103/PhysRevD.93.051101},http://dx.doi.org/10.1103/PhysRevD.93.051101,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,26,uri:{http://dx.doi.org/10.1103/PhysRevD.92.032002},http://dx.doi.org/10.1103/PhysRevD.92.032002,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1103/PhysRevD.92.012012},http://dx.doi.org/10.1103/PhysRevD.92.012012,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,27,uri:{http://dx.doi.org/10.1103/PhysRevD.91.052002},http://dx.doi.org/10.1103/PhysRevD.91.052002,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,28,uri:{http://dx.doi.org/10.1103/PhysRevD.90.112002},http://dx.doi.org/10.1103/PhysRevD.90.112002,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,26,uri:{http://dx.doi.org/10.1103/PhysRevD.90.072003},http://dx.doi.org/10.1103/PhysRevD.90.072003,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,26,uri:{http://dx.doi.org/10.1103/PhysRevD.89.032001},http://dx.doi.org/10.1103/PhysRevD.89.032001,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,26,uri:{http://dx.doi.org/10.1103/PhysRevD.87.092007},http://dx.doi.org/10.1103/PhysRevD.87.092007,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,28,uri:{http://dx.doi.org/10.1103/PhysRevD.86.011101},http://dx.doi.org/10.1103/PhysRevD.86.011101,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,24,uri:{http://dx.doi.org/10.1103/PhysRevD.80.092002},http://dx.doi.org/10.1103/PhysRevD.80.092002,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,28,uri:{http://dx.doi.org/10.1103/PhysRevD.80.031102},http://dx.doi.org/10.1103/PhysRevD.80.031102,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,28,uri:{http://dx.doi.org/10.1103/PhysRevD.79.072003},http://dx.doi.org/10.1103/PhysRevD.79.072003,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,24,uri:{http://dx.doi.org/10.1103/PhysRevD.79.051301},http://dx.doi.org/10.1103/PhysRevD.79.051301,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,26,uri:{http://dx.doi.org/10.1103/PhysRevD.76.012006},http://dx.doi.org/10.1103/PhysRevD.76.012006,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,24,uri:{http://dx.doi.org/10.1103/PhysRevD.63.036005},http://dx.doi.org/10.1103/PhysRevD.63.036005,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,24,uri:{http://dx.doi.org/10.1103/PhysRevD.50.3433},http://dx.doi.org/10.1103/PhysRevD.50.3433,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,28,uri:{http://dx.doi.org/10.1093/ptep/ptw030},http://dx.doi.org/10.1093/ptep/ptw030,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1088/1748-0221/3/08/S08005},http://dx.doi.org/10.1088/1748-0221/3/08/S08005,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1088/1742-6596/331/3/032047},http://dx.doi.org/10.1088/1742-6596/331/3/032047,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1088/1742-6596/331/3/032023},http://dx.doi.org/10.1088/1742-6596/331/3/032023,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,26,uri:{http://dx.doi.org/10.1088/1674-1137/38/9/090001},http://dx.doi.org/10.1088/1674-1137/38/9/090001,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1088/1126-6708/2006/05/026},http://dx.doi.org/10.1088/1126-6708/2006/05/026,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,28,uri:{http://dx.doi.org/10.1088/1126-6708/2005/07/028},http://dx.doi.org/10.1088/1126-6708/2005/07/028,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,24,uri:{http://dx.doi.org/10.1080/14786441008520365},http://dx.doi.org/10.1080/14786441008520365,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1016/S0370-2693(03)00192-8},http://dx.doi.org/10.1016/S0370-2693(03)00192-8,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1016/S0168-9002(03)01368-8},http://dx.doi.org/10.1016/S0168-9002(03)01368-8,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
1602.03455,25,uri:{http://dx.doi.org/10.1016/S0168-9002(01)00089-4},http://dx.doi.org/10.1016/S0168-9002(01)00089-4,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
