,,,,,,"annotation layer, embedded in images",
0806.0851,1,http://cdsweb.u-strasbg.fr/cgi-bin/qcat?J/A+A/,Introduction,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain, URLs with trailing slashes",embedded in footnotes,,
0806.0851,7,http://brucegary.net/AXA/GJ436/gj436.htm,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
0806.2409,1,mailto:xxing@physics.syr.edu,Abstract,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",,Hidden in annotation layers,
0806.2409,1,http://arxiv.org/abs/0806.2409v2,Abstract,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
0806.2409,53,https://www.sciencemag.org/cgi/content/abstract/299/5613/1716,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
0806.2409,54,http://link.aip.org/link/?APL/22/493/1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
0806.2409,54,http://link.aps.org/abstract/PRE/v77/e041705,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
0806.2409,55,http://link.aip.org/link/?APL/60/2204/1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
0806.2409,55,http://webusers.physics.uiuc.edu/m-stone5/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain, URLs with trailing slashes",embedded in references,,
0806.2409,56,http://link.aps.org/abstract/PRE/v74/e021711,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
0806.2409,56,http://link.aps.org/abstract/PRL/v101/e147801,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
0806.2409,54,http://link.aps.org/abstract/RMP/v80/p61,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
0806.2409,55,http://link.aps.org/abstract/PRL/v101/e037802,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
quant-ph0001004,1,http://arxiv.org/abs/quant-ph/0001004v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
quant-ph0001004,96,http://archiv.tu-chemnitz.de/pub/1997/0009,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
quant-ph0001004,96,http://www.ctennant.co.uk/tenn04.htm,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
physics0305069,1,http://arxiv.org/abs/physics/0305069v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
physics0305069,1,www.gridcanada.ca,Methodology,URLs without scheme,,,
physics0305069,1,www.canarie.ca,Methodology,URLs without scheme,,,
physics0305069,1,www.c3.ca,Methodology,URLs without scheme,,,
physics0305069,1,www.nrc.ca,Methodology,URLs without scheme,,,
physics0305069,2,http://grid.phys.uvic.ca,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, URLs with trailing slashes, URLs without scheme",,,
physics0305069,4,http://www.globus.org,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",,,
physics0305069,4,http://www.openafs.org,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",,,
physics0305069,4,http://www.objectivity.com,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",,,
physics0305069,4,http://www.cs.wisc.edu/condor,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",,,
physics0305069,4,http://www.pbspro.com/overview.html,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",,,
physics0305069,4,https://gridport.npaci.edu,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain",,,
physics0305069,4,http://www.raxnet.net/products/cacti,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
physics0305069,4,http://root.cern.ch,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain",,,
math0604479,1,http://arxiv.org/abs/math/0604479v2,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
math0604479,1,mailto:brichert@calpoly.edu.,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,Hidden in annotation layers,
math0604479,15,http://www.math.uiuc.edu/Macaulay2/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, URLs with trailing slashes, ""URLs with paths, query Strings, and fragments""",embedded in references,,
math0604479,15,mailto:csdodd@gmail.com,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in references,Hidden in annotation layers,
math0604479,15,mailto:asmarks@gmail.com,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in references,Hidden in annotation layers,
math0604479,15,mailto:vmeyerso@calpoly.edu,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in references,Hidden in annotation layers,
math0604479,15,mailto:brichert@calpoly.edu,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in references,Hidden in annotation layers,
math0604095,1,http://arxiv.org/abs/math/0604095v2,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
math0604095,10,www.maths.bris.ac.uk/~mamjw,Results and Discussion,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in footnotes,,
math0604095,13,www.maths.nottingham.ac.uk/personal/jec,References,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in references,,
math0604095,14,www.ams.org/online_bks/pspum332,References,"""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in references,,
math0604095,14,www.eecs.berkeley.edu/~yozo/papers/LBNL-46996.ps.gz,References,"""URLs with paths, query Strings, and fragments"", URLs with subdomain, URLs without scheme",embedded in references,,
math0604095,14,www.sunsite.ubc.ca/DigitalMathArchive/Langlands,References,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in references,,
math0604095,15,www.math.uwaterloo.ca/~mrubinst,References,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in references,,
math0604095,15,www.math.harvard.edu/~rtaylor,References,"URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in references,,
math0604095,15,www.expmath.org/expmath/contents.html,References,"""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in references,,
math0604095,1,phil_martin_uk@hotmail.com,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",,"Hidden in annotation layers, Hidden in metadata",
math0604095,1,mailto:watkins@maths.usyd.edu.au,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",,Hidden in annotation layers,
math0404241,1,http://arxiv.org/abs/math/0404241v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
math0404241,12,http://arxiv.org/abs/math.PR/0403016,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
math0404241,12,mailto:Wlodzimierz.Bryc@UC.edu,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",,Hidden in annotation layers,
math0404241,12,mailto:wesolo@alpha.mini.pw.edu.pl,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",,Hidden in annotation layers,
math0305404,1,http://arxiv.org/abs/math/0305404v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
math0305404,6,http://www.math.temple.edu/~matthias,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain",,,
math0305004,1,http://arxiv.org/abs/math/0305004v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
math0305004,10,www.cs.utep.edu/interval-comp/rcjournal.html,References,"URLs without scheme, ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
math-ph0305029,1,http://arxiv.org/abs/math-ph/0305029v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
math-ph0305029,18,http://www.ms.unimelb.edu.au/˜matpjf/matpjf.html.,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
math-ph0305029,18,http://www.math.ucl.ac.be/~magnus/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain, URLs with trailing slashes",embedded in references,,
hep-th0604177,1,http://arxiv.org/abs/hep-th/0604177v2,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
hep-th0604177,4,http://gravity.psu.edu/numrel/strings/,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",,,
hep-th0604177,4,http://arxiv.org/abs/hep-ph/9206216,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-ph/9904229,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-th/0507246,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-th/0602175,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-th/0603134,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-th/0505172,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-ph/9802306,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/astro-ph/0512487,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-ph/9304214,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-th/0402032,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-th/0405247,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-ph/9612350,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-th/0405229,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-th/0506022,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-th/9306120,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0604177,4,http://arxiv.org/abs/hep-th/9203023,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
hep-th0509024,1,http://arxiv.org/abs/hep-th/0509024v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
hep-th0509024,118,http://www.phys.uu.nl/∼thooft.,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
hep-th0509024,120,http://www-spht.cea.fr/articles/t01/014/publi.ps.gz,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
hep-ph9305288,1,http://arxiv.org/abs/hep-ph/9305288v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
hep-ph9305288,5,http://arxiv.org/ps/hep-ph/9305288v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
hep-ph9305288,6,http://arxiv.org/ps/hep-ph/9305288v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
hep-ph9305288,7,http://arxiv.org/ps/hep-ph/9305288v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
hep-ph9305288,8,http://arxiv.org/ps/hep-ph/9305288v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
hep-ph0110228,1,http://arxiv.org/abs/hep-ph/0110228v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
hep-ph0110228,,mailto:Malgorzata.Worek@phys.us.edu.pl,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",,Hidden in annotation layers,
hep-ph0110228,,www.home.cern.ch/∼wasm.,References,"""URLs with paths, query Strings, and fragments"", URLs without scheme, URLs with subdomain",embedded in references,,
hep-ph0110220,1,http://arxiv.org/abs/hep-ph/0110220v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
hep-ph0110220,143,http://www.cern.ch/CERN/Announcements/2000/NewStateMatter,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
hep-ph0110220,144,http://www.bnl.gov/RHIC/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",embedded in references,,
hep-ex0305058,1,http://arxiv.org/abs/hep-ex/0305058v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
cond-mat0604252,1,http://arxiv.org/abs/cond-mat/0604252v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,"Hidden in annotation layers, Hidden in metadata",
cond-mat0604252,11, http://theory.caltech.edu/people/preskill/ph229/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain, URLs with trailing slashes",embedded in references,,
cond-mat0604079,1,http://arxiv.org/abs/cond-mat/0604079v2,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
cond-mat0604079,1,mailto:vicenteg@unex.es,Introduction,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,,
cond-mat0604079,1,http://www.unex.es/eweb/fisteor/vicente/,Introduction,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain, URLs with trailing slashes",embedded in footnotes,,
cond-mat0604079,1,mailto:andres@unex.es,Introduction,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,,
cond-mat0604079,1,http://www.unex.es/eweb/fisteor/andres/,Introduction,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",embedded in footnotes,,
cond-mat0604079,1,mailto:jmm@unex.es,Introduction,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,,
cond-mat0604079,10,http://arxiv.org/abs/cond-mat/0411219,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
cond-mat0604079,11,http://arxiv.org/abs/cond-mat/0604079,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
cond-mat0404117,1,http://arxiv.org/abs/cond-mat/0404117v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
cond-mat0404117,7,http://arxiv.org/ps/cond-mat/0404117v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
cond-mat0404117,8,http://arxiv.org/ps/cond-mat/0404117v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
cond-mat0404117,9,http://arxiv.org/ps/cond-mat/0404117v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
cond-mat0404117,10,http://arxiv.org/ps/cond-mat/0404117v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
cond-mat0404117,11,http://arxiv.org/ps/cond-mat/0404117v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
cond-mat0404117,12,http://arxiv.org/ps/cond-mat/0404117v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
cond-mat0404117,13,http://arxiv.org/ps/cond-mat/0404117v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,,
cond-mat0305091,1,http://arxiv.org/abs/cond-mat/0305091v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
cond-mat0305091,4,http://tsallis.cat.cbpf.br/biblio.htm,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
cond-mat0305091,1,mailto:moyano@cbpf.br,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,Hidden in annotation layers,
cond-mat0305091,1,mailto:baldovin@cbpf.br,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,Hidden in annotation layers,
cond-mat0305091,1,mailto:tsallis@cbpf.br,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,Hidden in annotation layers,
cond-mat0110095,1,http://arxiv.org/abs/cond-mat/0110095v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
cond-mat0110095,4,http://www.itp.uni-hannover.de/~kolezhuk,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
cond-mat0001432,1,http://arxiv.org/abs/cond-mat/0001432v4,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
cond-mat0001432,1,http://arxiv.org/abs/cond-mat/0001432,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,Hidden in annotation layers,
cond-mat0001432,7,http://www2.physics.umd.edu/~yakovenk,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,,
cond-mat0001432,7,http://arxiv.org/abs/cond-mat/0002374,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
cond-mat0001432,7,http://arxiv.org/abs/cond-mat/0004256,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""","split across lines, embedded in references",Hidden in annotation layers,
astro-ph9901154,1,http://arxiv.org/abs/astro-ph/9901154v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
astro-ph9901154,1,http://constellation.gsfc.nasa.gov,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain",,,
astro-ph9901022,1,http://arxiv.org/abs/astro-ph/9901022v3,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
astro-ph9901022,1,http://www.stsci.edu/ftp/observing/hdf/hdfsouth/hdfs.html,Introduction,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in footnotes,,
astro-ph9901022,5,http://arxiv.org/abs/astro--ph/9809401,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,Hidden in annotation layers,
astro-ph9901022,5,http://arxiv.org/abs/astro--ph/9809404,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,Hidden in annotation layers,
astro-ph9901022,5,http://arxiv.org/abs/astro--ph/9812246,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,Hidden in annotation layers,
astro-ph0509431,1,http://arxiv.org/abs/astro-ph/0509431v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
astro-ph0509431,2,http://www.worldsteel.org/wsif.php,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
astro-ph0509431,2,http://www.eia.doe.gov/oiaf/ieo/,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments"", URLs with trailing slashes",embedded in references,,
astro-ph0509152,1,http://arxiv.org/abs/astro-ph/0509152v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
astro-ph0509152,2,http://obswww.unige.ch/webda/,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",,,
astro-ph0509152,4,https://www.unige.ch/webda/,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain, URLs with trailing slashes",embedded in captions,,
astro-ph0404092,1,http://arxiv.org/abs/astro-ph/0404092v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
astro-ph0404092,1,mailto:redwards@science.uva.nl,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",embedded in footnotes,Hidden in annotation layers,
astro-ph0404092,11,http://arxiv.org/abs/astro-ph/0401536,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,Hidden in annotation layers,
